sleeve,encoder,tag,test_mse,test_mse_hac_se,test_mse_ci_lo,test_mse_ci_hi,sharpe,mean_pnl_hac_se,sharpe_ci_lo,sharpe_ci_hi
equities,pointwise,equities_L252_H1_pointwise_base,0.00019616579811554402,3.266497762252112e-05,0.00014331529092455656,0.0002735966170179254,-0.394495280618684,0.0001688530168764994,-1.7713654923526951,1.0582649971972926
equities,patch,equities_L252_H1_patch_p16_s8,0.00029489403823390603,3.502496810183207e-05,0.0002338749587122005,0.0003774757032296551,-1.614933837405543,0.00018845199947286722,-3.3502796488932023,-0.038625290709650664
equities,ivar,equities_L252_H1_ivar_base,0.0027837888337671757,0.0001738059300298152,0.002470929857081694,0.0031203187480236773,-1.8429424166245805,0.00016915614538607948,-3.095482300172277,-0.7065491591514266
equities,cross,equities_L252_H1_cross_p16_s8,0.0021145660430192947,6.159340341695287e-05,0.001999732679030837,0.0022325354926778004,-1.5955591440674883,0.00015938091512076073,-2.9300789899661526,-0.3736643915310375
rates_credit,pointwise,rates_credit_L252_H1_pointwise_base,0.00010798810399137437,7.139243186322558e-06,9.309812678019896e-05,0.00012514837492694016,-1.3360682460167739,0.00011776655916643726,-2.682086087138886,0.0606031403957184
rates_credit,patch,rates_credit_L252_H1_patch_p16_s8,0.0001103301256080158,5.7839889789332e-06,9.880810555584806e-05,0.00012266082588793605,-4.148694199013996,0.00010222334960414698,-5.787754538565766,-2.8320374149032648
rates_credit,ivar,rates_credit_L252_H1_ivar_base,0.0024271062575280666,0.00013149152727005684,0.002175652681222389,0.002701251584967473,-3.281431732660159,0.00011143595253288306,-4.987668325072589,-1.6649987167939369
rates_credit,cross,rates_credit_L252_H1_cross_p16_s8,0.00011981040734099224,5.1641372515910265e-06,0.00010993330641615308,0.00013078048666375448,-1.943153797161205,0.00010973520237613513,-3.1958976825865526,-0.7168831533231436
commod_alt,pointwise,commod_alt_L252_H1_pointwise_base,0.00041376572335138917,1.7908987573958695e-05,0.0003799171807785813,0.00045312689195562724,0.010914423320353988,0.00014664693440303832,-1.213936230048208,1.2916498925987896
commod_alt,patch,commod_alt_L252_H1_patch_p16_s8,0.00014830814325250685,1.4161781616325286e-05,0.00012396806094494325,0.00018143994548316047,-0.32679929246663536,0.0001988550755984979,-1.6399484723909972,0.9255617175451712
commod_alt,ivar,commod_alt_L252_H1_ivar_base,0.002476215362548828,8.95990981699689e-05,0.002299433101057449,0.0026448589917424945,-1.7029304795762954,0.00020137586534780394,-3.1121889175295205,-0.31604679586816725
commod_alt,cross,commod_alt_L252_H1_cross_p16_s8,0.0005490899784490466,1.9934021656468986e-05,0.000515319445152849,0.0005903022726130533,-0.23343107133488736,0.0001947160235097796,-1.632571670805998,1.25376683605737
