tag,sleeve,L,H,encoder,patch_len,stride,val_mse,test_mse,test_mae,sharpe,turnover
commod_alt_L252_H1_cross_6,commod_alt,252,1,cross,8.0,4.0,0.000186,0.000134,0.008827,-1.049,0.342
commod_alt_L252_H1_cross_7,commod_alt,252,1,cross,16.0,8.0,0.000662,0.000549,0.01943,-0.233,0.249
commod_alt_L252_H1_ivar_5,commod_alt,252,1,ivar,,,0.002853,0.002476,0.042113,-1.703,0.665
commod_alt_L252_H1_patch_2,commod_alt,252,1,patch,8.0,4.0,0.000206,0.000127,0.008511,-2.975,0.573
commod_alt_L252_H1_patch_3,commod_alt,252,1,patch,16.0,8.0,0.000201,0.000148,0.009348,-0.327,0.697
commod_alt_L252_H1_patch_4,commod_alt,252,1,patch,32.0,16.0,0.000312,0.000223,0.011877,-1.209,0.691
commod_alt_L252_H1_pointwise_1,commod_alt,252,1,pointwise,,,0.000405,0.000414,0.017107,0.011,0.037
equities_L252_H1_cross_6,equities,252,1,cross,8.0,4.0,0.000282,0.000192,0.010095,-2.617,0.369
equities_L252_H1_cross_7,equities,252,1,cross,16.0,8.0,0.002196,0.002115,0.043089,-1.596,0.538
equities_L252_H1_ivar_5,equities,252,1,ivar,,,0.004269,0.002784,0.040779,-1.843,0.623
equities_L252_H1_patch_2,equities,252,1,patch,8.0,4.0,0.000252,0.00019,0.010034,-2.372,0.602
equities_L252_H1_patch_3,equities,252,1,patch,16.0,8.0,0.000337,0.000295,0.013091,-1.615,0.525
equities_L252_H1_patch_4,equities,252,1,patch,32.0,16.0,0.000581,0.000384,0.015412,-2.964,0.535
equities_L252_H1_pointwise_1,equities,252,1,pointwise,,,0.000272,0.000196,0.01004,-0.394,0.106
rates_credit_L252_H1_cross_6,rates_credit,252,1,cross,8.0,4.0,0.000307,0.0003,0.015184,0.063,0.092
rates_credit_L252_H1_cross_7,rates_credit,252,1,cross,16.0,8.0,0.000191,0.00012,0.009042,-1.943,0.383
rates_credit_L252_H1_ivar_5,rates_credit,252,1,ivar,,,0.003402,0.002427,0.03946,-3.281,0.635
rates_credit_L252_H1_patch_2,rates_credit,252,1,patch,8.0,4.0,0.000125,9.7e-05,0.008137,-3.484,0.603
rates_credit_L252_H1_patch_3,rates_credit,252,1,patch,16.0,8.0,0.000234,0.00011,0.008108,-4.149,0.522
rates_credit_L252_H1_patch_4,rates_credit,252,1,patch,32.0,16.0,0.000251,0.000134,0.008996,-4.549,0.632
rates_credit_L252_H1_pointwise_1,rates_credit,252,1,pointwise,,,0.000309,0.000108,0.00773,-1.336,0.117
